"Pulse Width" "FSC" "SSC" "FITC "PE" "PE-Cy5"  "PE-Cy7"  "APC"  "APC-Cy7"  "Raw Time"
2095	2125	3161	1871	1325	2207	1686	3373	3017	3
1999	2217	1488	1281	505	1106	699	2366	2096	3
1999	2230	1360	1017	484	1761	1559	2901	2414	3
2063	2124	991	1505	752	1706	1382	2737	2327	3
1967	2306	1647	1151	683	1900	1337	3141	2785	3
1823	1290	203	816	361	307	338	233	432	3
2255	2819	635	1362	633	579	464	809	713	3
1871	1928	533	842	582	225	378	664	237	3
1967	2071	515	1213	552	1726	1214	2791	2478	3
1919	1810	2732	1252	710	1740	1478	2981	2561	3
1999	1835	1988	1180	532	2143	1764	3166	2844	3
1887	1705	2048	1328	734	1715	1301	2920	2594	3
1919	1787	2285	1520	708	1839	1067	3073	2766	3
1967	1920	1505	1236	279	1622	1193	2639	2260	3
1855	1597	4095	1352	940	2064	1416	3258	2860	3
2015	2048	1031	1141	583	1635	1126	2722	2249	3
1855	1550	602	995	486	372	0	431	397	3
1999	2155	2309	2144	1635	2119	2029	2860	2498	3
1935	2474	2445	1471	954	2034	1027	3235	2772	3
1967	1825	1569	1351	691	1736	1359	2709	2236	3
2031	2692	3216	1391	1118	1271	847	2292	1982	3
2063	2834	1222	1276	1118	1238	832	614	784	3
2047	1638	3910	1828	1350	1358	835	965	764	3
1983	2294	1665	1325	656	1568	999	2643	2186	3
1839	1741	379	1145	604	482	133	506	478	3
1887	2048	3085	1353	973	2130	1577	3347	2943	3
2095	3594	2744	1964	1281	706	737	551	300	3
1855	1367	479	790	436	339	302	307	514	3
303	63	462	2356	1534	1335	1090	392	192	3
1919	2230	2981	1347	612	1745	1150	2976	2567	3
2383	3807	3630	1754	1078	2333	1925	3525	3146	3
